Position (cm^-1)	Sample Intensity (V)
760	8.25358583824709e-5
765	1.58734710566932e-5
770	-3.28123093140675e-8
775	1.98785642169241e-7
780	1.00357037808863e-5
785	2.51919827860547e-5
790	4.61305535282008e-5
795	6.91358363837935e-5
800	8.93939941306599e-5
805	1.031818028423e-4
810	1.0778452269733e-4
815	1.0333504906157e-4
820	9.3230904894881e-5
825	8.20790955913253e-5
830	7.44069402571768e-5
835	7.23813354852609e-5
840	7.55696601117961e-5
845	8.19904307718389e-5
850	8.80343723110855e-5
855	9.00068844202906e-5
860	8.6010099039413e-5
865	7.60488910600543e-5
870	6.20204082224518e-5
875	4.65314114990179e-5
880	3.17893172905315e-5
885	1.97710669453954e-5
890	1.12231336970581e-5
895	6.06290996074677e-6
900	4.04374077334069e-6
905	4.59134935226757e-6
910	6.82301288179588e-6
915	9.84743383014575e-6
920	1.24102007248439e-5
925	1.41887257996132e-5
930	1.50429405039176e-5
935	1.49663537740707e-5
940	1.39784024213441e-5
945	1.29469044622965e-5
950	1.25647857203148e-5
955	1.3391703760135e-5
960	1.50873802340357e-5
965	1.846805025707e-5
970	2.50656921707559e-5
975	3.69934059563093e-5
980	5.57520106667653e-5
985	8.18169355625287e-5
990	1.08886204543524e-4
995	1.28411484183744e-4
1000	1.35397494887002e-4
1005	1.32305460283533e-4
1010	1.21950164611917e-4
1015	1.06663734186441e-4
1020	8.91726595000364e-5
1025	7.23329503671266e-5
1030	5.73668221477419e-5
1035	4.5368324208539e-5
1040	3.65572559530847e-5
1045	3.14747230731882e-5
1050	3.07643313135486e-5
1055	3.51564849552233e-5
1060	4.54424698546063e-5
1065	6.17163677816279e-5
1070	8.28426345833577e-5
1075	1.07662948721554e-4
1080	1.33660534629598e-4
1085	1.57536953338422e-4
1090	1.76008499693126e-4
1095	1.86282544746064e-4
1100	1.86564066098072e-4
1105	1.7594761447981e-4
1110	1.55459390953183e-4
1115	1.28510248032399e-4
1120	9.82438141363673e-5
1125	6.80206139804795e-5
1130	4.10476386605296e-5
1135	2.01755101443268e-5
1140	7.18839783075964e-6
1145	1.3734038475377e-6
1150	2.03779904950352e-6
1155	8.03678722149925e-6
1160	1.60933686856879e-5
1165	2.32410384342074e-5
1170	2.67659252131125e-5
1175	2.65304752247175e-5
1180	2.36742125707678e-5
1185	1.93600480997702e-5
1190	1.59404917212669e-5
1195	1.44958494274761e-5
1200	1.5037413504615e-5
1205	1.64065859280527e-5
1210	1.68565620697336e-5
1215	1.58790408022469e-5
1220	1.35493428388145e-5
1225	1.02773947219248e-5
1230	7.33115075490787e-6
1235	5.85620955462218e-6
1240	6.78343712934293e-6
1245	1.01703408290632e-5
1250	1.58481707330793e-5
1255	2.37120748352027e-5
1260	3.33743555529509e-5
1265	4.39833311247639e-5
1270	5.47220006410498e-5
1275	6.45379041088745e-5
1280	7.22683544154279e-5
1285	7.68205427448265e-5
1290	7.7850570960436e-5
1295	7.62108320486732e-5
1300	7.31464751879685e-5
1305	7.08680672687478e-5
1310	7.06853024894372e-5
1315	7.16114154784009e-5
1320	7.14092238922603e-5
1325	6.72519818181172e-5
1330	5.83131804887671e-5
1335	4.81003880850039e-5
1340	4.54628316219896e-5
1345	7.2764276410453e-5
1350	1.49610903463326e-4
1355	2.67976312898099e-4
1360	3.81806079531088e-4
1365	4.44661360234022e-4
1370	4.52078529633582e-4
1375	4.25646983785555e-4
1380	3.87514824979007e-4
1385	3.53085866663605e-4
1390	3.22616251651198e-4
1395	2.92890996206552e-4
1400	2.61695036897436e-4
1405	2.28365184739232e-4
1410	1.94047679542564e-4
1415	1.63787131896243e-4
1420	1.45442609209567e-4
1425	1.44462464959361e-4
1430	1.58937182277441e-4
1435	1.83239026227966e-4
1440	2.09453690331429e-4
1445	2.30794423259795e-4
1450	2.41904781432822e-4
1455	2.4092907551676e-4
1460	2.29745666729286e-4
1465	2.11702092201449e-4
1470	1.9085117673967e-4
1475	1.70844956301153e-4
1480	1.52854016050696e-4
1485	1.3757951091975e-4
1490	1.25067017506808e-4
1495	1.16045863251202e-4
1500	1.12217734567821e-4
1505	1.13916146801785e-4
1510	1.19914242532104e-4
1515	1.28123487229459e-4
1520	1.3542512897402e-4
1525	1.39307885547169e-4
1530	1.38056624564342e-4
1535	1.32408807985485e-4
1540	1.26322018331848e-4
1545	1.2397303362377e-4
1550	1.27650986541994e-4
1555	1.38574512675405e-4
1560	1.53136730659753e-4
1565	1.64187935297377e-4
1570	1.65675519383512e-4
1575	1.56614114530385e-4
1580	1.40214833663777e-4
1585	1.2043407332385e-4
1590	1.00525299785659e-4
1595	8.49514181027189e-5
1600	7.47816593502648e-5
1605	6.81894380250014e-5
1610	6.33333547739312e-5
1615	5.87659742450342e-5
1620	5.30185170646291e-5
1625	4.5511536882259e-5
1630	3.63112703780644e-5
1635	2.77898925560294e-5
1640	2.14068186323857e-5
1645	1.92068418982672e-5
1650	2.3836704713176e-5
1655	3.55828815372661e-5
1660	4.961639206158e-5
1665	6.28648267593235e-5
1670	7.37291265977547e-5
1675	8.25476381578483e-5
1680	8.97274148883298e-5
1685	9.56940566538833e-5
1690	1.0137892968487e-4
1695	1.09089305624366e-4
1700	1.1891225585714e-4
1705	1.29380976432003e-4
1710	1.38173767481931e-4
1715	1.4397561608348e-4
1720	1.45616388181224e-4
1725	1.43229975947179e-4
1730	1.3774358376395e-4
1735	1.31845648866147e-4
1740	1.27455772599205e-4
1745	1.25580016174354e-4
1750	1.26112485304475e-4
1755	1.28416329971515e-4
1760	1.30496395286173e-4
1765	1.32202869281173e-4
1770	1.3307023618836e-4
1775	1.33884881506674e-4
1780	1.35016045533121e-4
1785	1.36304079205729e-4
1790	1.36407164973207e-4
1795	1.33052948513068e-4
1800	1.24332829727791e-4
1805	1.11581037344877e-4
1810	9.65787621680647e-5
1815	8.27464100439101e-5
1820	7.26360740372911e-5
1825	6.82169411447831e-5
1830	6.91296154400334e-5
1835	7.23638659110293e-5
1840	7.52559426473454e-5
1845	7.67513265600428e-5
1850	7.67625388107263e-5
1855	7.63437274144962e-5
1860	7.45048018870875e-5
1865	7.19855888746679e-5
1870	6.85762715875171e-5
1875	6.07343281444628e-5
1875	6.04338165430818e-5
