Position (cm^-1)	Sample Intensity (V)
760	1.15321185489847e-7
765	1.22625651783892e-5
770	1.56320020323619e-5
775	2.10132002393948e-5
780	2.98179566016188e-5
785	3.99632117478177e-5
790	5.09628698637243e-5
795	6.10757560934871e-5
800	6.67830827296712e-5
805	6.60923033137806e-5
810	5.90062591072638e-5
815	4.91591963509563e-5
820	4.09766398661304e-5
825	3.82017788069788e-5
830	4.14740716223605e-5
835	5.09407400386408e-5
840	6.21183353359811e-5
845	7.03624609741382e-5
850	7.24049241398461e-5
855	6.76651179674082e-5
860	5.86099740758073e-5
865	4.88290570501704e-5
870	4.03819758503232e-5
875	3.48255889548454e-5
880	3.04994337056996e-5
885	2.62365720118396e-5
890	2.10364250960993e-5
895	1.49960023918538e-5
900	9.68167478276882e-6
905	6.47897604721948e-6
910	5.71469854548923e-6
915	7.18838691682322e-6
920	9.86942814051872e-6
925	1.27961284306366e-5
930	1.47137025123811e-5
935	1.48432081914507e-5
940	1.33378489408642e-5
945	1.05734516182565e-5
950	7.93603703641566e-6
955	6.62155298414291e-6
960	8.27739495434798e-6
965	1.38762534334091e-5
970	2.47332191065652e-5
975	4.13039088016376e-5
980	6.0982220020378e-5
985	7.66212615417317e-5
990	8.26509349280968e-5
995	7.6972421084065e-5
1000	6.40652579022571e-5
1005	4.89323610963766e-5
1010	3.56296986865345e-5
1015	2.57533283729572e-5
1020	1.87582318176283e-5
1025	1.39629091790994e-5
1030	1.1401933079469e-5
1035	1.05197304947069e-5
1040	1.07778141682502e-5
1045	1.21590765047586e-5
1050	1.54629051394295e-5
1055	2.01014827325707e-5
1060	2.40546396526042e-5
1065	2.57443316513672e-5
1070	2.478995884303e-5
1075	2.2614545741817e-5
1080	2.16286352952011e-5
1085	2.54283531830879e-5
1090	3.7086629163241e-5
1095	5.53762620256748e-5
1100	7.57686284487136e-5
1105	9.22758335946128e-5
1110	1.00135235697962e-4
1115	9.70704422798008e-5
1120	8.38911219034344e-5
1125	6.45518593955785e-5
1130	4.54782930319198e-5
1135	3.03256110782968e-5
1140	2.19611301872646e-5
1145	1.97236440726556e-5
1150	2.14223873626906e-5
1155	2.47240714088548e-5
1160	2.80930216831621e-5
1165	3.03782962873811e-5
1170	3.20142789860256e-5
1175	3.19495520670898e-5
1180	3.04492550640134e-5
1185	2.6848356355913e-5
1190	2.18358436541166e-5
1195	1.64135981322033e-5
1200	1.13797759695444e-5
1205	7.46934847484226e-6
1210	5.68015184398973e-6
1215	6.36173990642419e-6
1220	9.2776308520115e-6
1225	1.34207339215209e-5
1230	1.84842119779205e-5
1235	2.22354865400121e-5
1240	2.29117540584411e-5
1245	1.98525431187591e-5
1250	1.44801633723546e-5
1255	9.65778781392146e-6
1260	7.14938596502179e-6
1265	8.62550677993568e-6
1270	1.51442964124726e-5
1275	2.5053697754629e-5
1280	3.61224010703154e-5
1285	4.49067483714316e-5
1290	4.91164173581637e-5
1295	4.85236050735693e-5
1300	4.32816741522402e-5
1305	3.65641499229241e-5
1310	3.14590652124025e-5
1315	3.04596087516984e-5
1320	3.14389108098112e-5
1325	2.87718194158515e-5
1330	2.26401789404917e-5
1335	1.76145586010534e-5
1340	2.70809850917431e-5
1345	8.24140443000943e-5
1350	2.14993211557157e-4
1355	4.30732499808073e-4
1360	6.39694568235427e-4
1365	7.56997615098953e-4
1370	7.85629963502288e-4
1375	7.59311427827925e-4
1380	7.1529537672177e-4
1385	6.74198498018086e-4
1390	6.38424535281956e-4
1395	6.0485303401947e-4
1400	5.52111945580691e-4
1405	4.79731796076521e-4
1410	4.02317149564624e-4
1415	3.32603463903069e-4
1420	2.87402304820716e-4
1425	2.7366160065867e-4
1430	2.88930401438847e-4
1435	3.17529862513766e-4
1440	3.35129327140748e-4
1445	3.35056276526302e-4
1450	3.27012647176161e-4
1455	3.17977566737682e-4
1460	3.19165410473943e-4
1465	3.32482770318165e-4
1470	3.56668315362185e-4
1475	3.77778371330351e-4
1480	3.78217227989808e-4
1485	3.52987321093678e-4
1490	3.13107680995017e-4
1495	2.67420866293833e-4
1500	2.31421799981035e-4
1505	2.14409214095213e-4
1510	2.23476527025923e-4
1515	2.49591015744954e-4
1520	2.76505743386224e-4
1525	2.90425610728562e-4
1530	2.90381634840742e-4
1535	2.77524464763701e-4
1540	2.60180677287281e-4
1545	2.46750452788547e-4
1550	2.43742659222335e-4
1555	2.46788345975801e-4
1560	2.47591728111729e-4
1565	2.34503866522573e-4
1570	2.0774855511263e-4
1575	1.72463522176258e-4
1580	1.35289883473888e-4
1585	1.03235637652688e-4
1590	7.94542211224325e-5
1595	6.47006017970853e-5
1600	5.83166292926762e-5
1605	5.52171077288222e-5
1610	5.35218823642936e-5
1615	5.11560101585928e-5
1620	4.55129957117606e-5
1625	3.77459291485138e-5
1630	2.74170379270799e-5
1635	1.91246799658984e-5
1640	1.76976827788167e-5
1645	3.06043002638035e-5
1650	5.97076832491439e-5
1655	9.71736008068547e-5
1660	1.30173197248951e-4
1665	1.54402980115265e-4
1670	1.67461927048862e-4
1675	1.71432155184448e-4
1680	1.64023338584229e-4
1685	1.46777849295177e-4
1690	1.26245300634764e-4
1695	1.10611777927261e-4
1700	1.03388760180678e-4
1705	1.04966980870813e-4
1710	1.12587615149096e-4
1715	1.21803779620677e-4
1720	1.26962171634659e-4
1725	1.23880920000374e-4
1730	1.16212744615041e-4
1735	1.07358042441774e-4
1740	1.00126933830325e-4
1745	9.85257429420017e-5
1750	1.03634847619105e-4
1755	1.12970199552365e-4
1760	1.24778438475914e-4
1765	1.35598878841847e-4
1770	1.4704569184687e-4
1775	1.54511755681597e-4
1780	1.54818204464391e-4
1785	1.48738268762827e-4
1790	1.35653055622242e-4
1795	1.16927629278507e-4
1800	9.84289799816906e-5
1805	8.54619574965909e-5
1810	8.4964936831966e-5
1815	9.39880046644248e-5
1820	1.07959458546247e-4
1825	1.2255014735274e-4
1830	1.30302665638737e-4
1835	1.25902733998373e-4
1840	1.09784501546528e-4
1845	8.62288798089139e-5
1850	6.31702787359245e-5
1855	4.24208228650969e-5
1860	2.87865495920414e-5
1865	2.61247005255427e-5
1870	4.03853700845502e-5
1875	7.52314372221008e-5
1875	7.52378109609708e-5
