Position (cm^-1)	Sample Intensity (V)
1420	2.2652315965388e-4
1425	2.26777323405258e-4
1430	2.44977738475427e-4
1435	2.71841796347871e-4
1440	2.97784310532734e-4
1445	3.16478428430855e-4
1450	3.24778113281354e-4
1455	3.22771345963702e-4
1460	3.12074349494651e-4
1465	2.94891593512148e-4
1470	2.74393823929131e-4
1475	2.53731675911695e-4
1480	2.34351973631419e-4
1485	2.16884349356405e-4
1490	2.02066570636816e-4
1495	1.90539023606107e-4
1500	1.83634125278331e-4
1505	1.82102361577563e-4
1510	1.85714292456396e-4
1515	1.92875188076869e-4
1520	1.99809583136812e-4
1525	2.03047573450021e-4
1530	2.00330483494326e-4
1535	1.92606981727295e-4
1540	1.84361531864852e-4
1545	1.81238472578116e-4
1550	1.86549106729217e-4
1555	1.99853398953564e-4
1560	2.14573738048784e-4
1565	2.22117596422322e-4
1570	2.16162748984061e-4
1575	1.97753674001433e-4
1580	1.72005034983158e-4
1585	1.44704405101948e-4
1590	1.19791759061627e-4
1595	1.003506113193e-4
1600	8.65304609760642e-5
1605	7.64484793762676e-5
1610	6.75246919854544e-5
1615	5.83847795496695e-5
1620	4.76290333608631e-5
1625	3.48144531017169e-5
1630	2.06375952984672e-5
1635	7.3345772761968e-6
1640	1.91941330740519e-6
1645	1.49634661283926e-5
1650	4.57001551694702e-5
1655	8.29955679364502e-5
1660	1.13479043648113e-4
1665	1.33186127641238e-4
1670	1.44204328535125e-4
1675	1.47530430695042e-4
1680	1.47326951264404e-4
1685	1.46822480019182e-4
1690	1.47551239933819e-4
1695	1.53137661982328e-4
1700	1.63743228767999e-4
1705	1.77173453266732e-4
1710	1.90831706277095e-4
1715	2.01695816940628e-4
1720	2.09160600206815e-4
1725	2.13065373827703e-4
1730	2.13181294384412e-4
1735	2.11940045119263e-4
1740	2.10270882234909e-4
1745	2.08831872441806e-4
1750	2.08410827326588e-4
1755	2.09507590625435e-4
1760	2.11890961509198e-4
1765	2.14962929021567e-4
1770	2.16933389310725e-4
1775	2.1715770708397e-4
