Position (cm^-1)	Sample Intensity (V)
760	6.16593897575513e-5
765	4.06239778385498e-5
770	3.27043999277521e-5
775	2.717461939028e-5
780	2.26964530156692e-5
785	1.89377988135675e-5
790	1.6236672308878e-5
795	1.64523098646896e-5
800	1.95245047507342e-5
805	2.51611581916222e-5
810	3.19471291732043e-5
815	3.8658305129502e-5
820	4.37394955952186e-5
825	4.65942939626984e-5
830	4.76538298244122e-5
835	4.76510685984977e-5
840	4.66446217615157e-5
845	4.47904749307781e-5
850	4.20023279730231e-5
855	3.83805636374746e-5
860	3.32410199916922e-5
865	2.68859657808207e-5
870	2.02086448553018e-5
875	1.41665059345542e-5
880	9.27353630686412e-6
885	5.73331544728717e-6
890	3.62414380106202e-6
895	2.80903191196558e-6
900	2.65622634287865e-6
905	2.86311342279078e-6
910	3.30297575601435e-6
915	3.82252665076521e-6
920	4.36771188105922e-6
925	4.83308122056769e-6
930	5.55534552404424e-6
935	6.5675067162374e-6
940	7.7744671216351e-6
945	8.74248598847771e-6
950	9.53748258325504e-6
955	1.00241359177744e-5
960	9.77804666035809e-6
965	8.83413849805947e-6
970	8.49716161610559e-6
975	1.0390518582426e-5
980	1.73827538674232e-5
985	3.06621222989634e-5
990	4.84431620861869e-5
995	6.3770443375688e-5
1000	7.0465132012032e-5
1005	6.89181033521891e-5
1010	6.14523160038516e-5
1015	5.07728473166935e-5
1020	4.04495476686861e-5
1025	3.30850161844864e-5
1030	2.98983250104357e-5
1035	2.95801401080098e-5
1040	2.9697503123316e-5
1045	2.89321033051237e-5
1050	2.66396600636654e-5
1055	2.39739729295252e-5
1060	2.31802860071184e-5
1065	2.64024092757609e-5
1070	3.4485237847548e-5
1075	4.65729681309313e-5
1080	5.99918494117446e-5
1085	7.14135821908712e-5
1090	7.77381646912545e-5
1095	7.82178758527152e-5
1100	7.3772796895355e-5
1105	6.64631297695451e-5
1110	5.86584283155389e-5
1115	5.16964064445347e-5
1120	4.58532231277786e-5
1125	4.03841258957982e-5
1130	3.38856880262028e-5
1135	2.57975189015269e-5
1140	1.65075780387269e-5
1145	7.63252864999231e-6
1150	1.89063393918332e-6
1155	-8.17799161723087e-9
1160	2.46382592195005e-6
1165	7.84163603384513e-6
1170	1.32417371787597e-5
1175	1.63518398039741e-5
1180	1.67536400113022e-5
1185	1.44605810419307e-5
1190	1.07636587927118e-5
1195	6.65449942971463e-6
1200	3.88722901334404e-6
1205	3.13524037665047e-6
1210	4.26782662543701e-6
1215	6.65704646962695e-6
1220	1.00288098110468e-5
1225	1.28936835608329e-5
1230	1.45329358929303e-5
1235	1.44255800478277e-5
