Position (cm^-1)	Sample Intensity (V)
760	5.04378040204756e-5
765	5.65830941923196e-6
770	1.11462243879146e-8
775	4.80367407362792e-6
780	1.44881541928044e-5
785	2.70602467935532e-5
790	4.04099882871378e-5
795	5.16204599989578e-5
800	5.9971625887556e-5
805	6.46367188892327e-5
810	6.64037579554133e-5
815	6.6493455960881e-5
820	6.77063289913349e-5
825	7.14791895006783e-5
830	7.77687891968526e-5
835	8.52549201226793e-5
840	9.17498036869802e-5
845	9.41233229241334e-5
850	9.0796165750362e-5
855	8.13926235423423e-5
860	6.79325748933479e-5
865	5.26799631188624e-5
870	3.8313060940709e-5
875	2.68921812676126e-5
880	1.89421789400512e-5
885	1.35750851768535e-5
890	1.02454005173058e-5
895	8.26287214295007e-6
900	7.38125572752324e-6
905	7.22092590876855e-6
910	7.76719025452621e-6
915	9.12951236387016e-6
920	1.09417169369408e-5
925	1.23923218779964e-5
930	1.34970287035685e-5
935	1.38524119392969e-5
940	1.33307985379361e-5
945	1.20375052574673e-5
950	1.05591934698168e-5
955	9.48317210713867e-6
960	9.26492066355422e-6
965	1.0620683497109e-5
970	1.61547759489622e-5
975	2.88531755359145e-5
980	5.10106801812071e-5
985	7.96638269093819e-5
990	1.05099730717484e-4
995	1.1689611710608e-4
1000	1.12667898065411e-4
1005	9.80813638307154e-5
1010	7.88072793511674e-5
1015	5.95643286942504e-5
1020	4.33303102909122e-5
1025	3.16737823595759e-5
1030	2.51217043114593e-5
1035	2.31054036703426e-5
1040	2.44157108681975e-5
1045	2.85482710751239e-5
1050	3.46191300195642e-5
1055	4.26545484515373e-5
1060	5.24797906109598e-5
1065	6.48353670840152e-5
1070	8.06062234914862e-5
1075	1.0077487968374e-4
1080	1.2505883933045e-4
1085	1.51288666529581e-4
1090	1.74751592567191e-4
1095	1.90083141205832e-4
1100	1.93236803170294e-4
1105	1.83274707524106e-4
1110	1.61377407494001e-4
1115	1.31800436065532e-4
1120	1.00369208666962e-4
1125	7.19883464626037e-5
1130	4.98843801324256e-5
1135	3.51358939951751e-5
1140	2.83225090242922e-5
1145	2.83848494291306e-5
1150	3.04465065710247e-5
1155	3.13615055347327e-5
1160	2.97115075227339e-5
1165	2.48925844061887e-5
1170	1.84700638783397e-5
1175	1.261858142243e-5
1180	9.49595505517209e-6
1185	1.00819288491039e-5
1190	1.31783390315832e-5
1195	1.74443230207544e-5
1200	2.0990330085624e-5
1205	2.22808430407895e-5
1210	2.10301968763815e-5
1215	1.79990620381432e-5
1220	1.41067166623543e-5
1225	1.02175326901488e-5
1230	7.37214531909558e-6
1235	6.35061724096886e-6
1240	6.84375754644861e-6
1245	8.63335571921198e-6
1250	1.1974362678302e-5
1255	1.79884682438569e-5
1260	2.67275590886129e-5
1265	3.71794812963344e-5
1270	4.8607758799335e-5
1275	5.97665020904969e-5
1280	6.82440731907263e-5
1285	7.21479518688284e-5
1290	7.05452403053641e-5
1295	6.47714696242474e-5
1300	5.69491458008997e-5
1305	4.94868254463654e-5
1310	4.50646075478289e-5
1315	4.50209954578895e-5
1320	4.70827544631902e-5
1325	4.83097865071613e-5
1330	4.65937446278986e-5
1335	4.42734162788838e-5
1340	5.47485324204899e-5
1345	1.04217862826772e-4
1350	2.20133195398375e-4
1355	3.97855415940285e-4
1360	5.70613658055663e-4
1365	6.70154404360801e-4
1370	6.84373604599386e-4
1375	6.44265906885266e-4
1380	5.88503258768469e-4
1385	5.36157749593258e-4
1390	4.89187485072762e-4
1395	4.45055949967355e-4
1400	4.00279852328822e-4
1405	3.54634888935834e-4
1410	3.07890004478395e-4
1415	2.67678056843579e-4
1420	2.43119720835239e-4
1425	2.36361694987863e-4
1430	2.42953930865042e-4
1435	2.57713923929259e-4
1440	2.75472644716501e-4
1445	2.93244927888736e-4
1450	3.07555019389838e-4
1455	3.18639387842268e-4
1460	3.23587330058217e-4
1465	3.18427220918238e-4
1470	3.01443273201585e-4
1475	2.75368249276653e-4
1480	2.44228111114353e-4
1485	2.13116116356105e-4
1490	1.8518342403695e-4
1495	1.6498526383657e-4
1500	1.54148830915801e-4
1505	1.5270100266207e-4
1510	1.59450457431376e-4
1515	1.71816485817544e-4
1520	1.85854922165163e-4
1525	1.97904286324047e-4
1530	2.03367599169724e-4
1535	2.02157360035926e-4
1540	1.96786044398323e-4
1545	1.91406506928615e-4
1550	1.89576312550344e-4
1555	1.92211446119472e-4
1560	1.97092245798558e-4
1565	1.99099958990701e-4
1570	1.91159939276986e-4
1575	1.73456413904205e-4
1580	1.4980866399128e-4
1585	1.24356505693868e-4
1590	1.00501041742973e-4
1595	8.0229809100274e-5
1600	6.54214600217529e-5
1605	5.56802442588378e-5
1610	4.80613925901707e-5
1615	4.20563155785203e-5
1620	3.7503159546759e-5
1625	3.46445667673834e-5
1630	3.41528648277745e-5
1635	3.45182634191588e-5
1640	3.70928682968952e-5
1645	4.12082627008203e-5
1650	4.47105812781956e-5
1655	5.12038968736306e-5
1660	6.16065299254842e-5
1665	7.52421110519208e-5
1670	8.9197295892518e-5
1675	1.01379679108504e-4
1680	1.11741486762185e-4
1685	1.18914322229102e-4
1690	1.23268066090532e-4
1695	1.27285064081661e-4
1700	1.32660279632546e-4
1705	1.39814539579675e-4
1710	1.4737676247023e-4
1715	1.5559236635454e-4
1720	1.64535595104098e-4
1725	1.71109350048937e-4
1730	1.76026878762059e-4
1735	1.81284456630237e-4
1740	1.88489386346191e-4
1745	1.96884167962708e-4
1750	2.04721392947249e-4
1755	2.11026621400379e-4
1760	2.13820851058699e-4
1765	2.07383011002094e-4
1770	1.92424937267788e-4
1775	1.7125038721133e-4
1780	1.47952028783038e-4
1785	1.25855542137288e-4
1790	1.08701933640987e-4
1795	9.81659104581922e-5
1800	9.45334686548449e-5
