Position (cm^-1)	Sample Intensity (V)
760	9.36147189349867e-5
765	2.00739959836937e-4
770	2.13540261029266e-4
775	2.11759470403194e-4
780	2.11900900467299e-4
785	2.10810656426474e-4
790	2.16323373024352e-4
795	2.25010517169721e-4
800	2.3096524819266e-4
805	2.29812663746998e-4
810	2.20114074181765e-4
815	2.0550173940137e-4
820	1.91139042726718e-4
825	1.80855844519101e-4
830	1.76915593328886e-4
835	1.78230926394463e-4
840	1.81134266313165e-4
845	1.81751282070763e-4
850	1.78116926690564e-4
855	1.69462568010204e-4
860	1.57287460751832e-4
865	1.42884062370285e-4
870	1.28300336655229e-4
875	1.14242844574619e-4
880	1.01365425507538e-4
885	9.04085973161273e-5
890	8.164258179022e-5
895	7.46863661333919e-5
900	6.92303146934137e-5
905	6.42490049358457e-5
910	5.93861514062155e-5
915	5.38540480192751e-5
920	4.82121031382121e-5
925	4.32798333349638e-5
930	3.96688155888114e-5
935	3.81603676942177e-5
940	3.76415846403688e-5
945	3.54845142283011e-5
950	2.9543522032327e-5
955	1.9165629055351e-5
960	7.21613832865842e-6
965	-2.20193707711758e-9
970	1.12573061414878e-5
975	6.12731164437719e-5
980	1.62286654813215e-4
985	2.97998980386183e-4
990	4.18766110669822e-4
995	4.77059453260154e-4
1000	4.64158656541258e-4
1005	4.04268415877596e-4
1010	3.25156084727496e-4
1015	2.47066840529442e-4
1020	1.81388357304968e-4
1025	1.33306239149533e-4
1030	1.04316539363936e-4
1035	9.15147829800844e-5
1040	8.82247477420606e-5
1045	8.92700409167446e-5
1050	9.3472255684901e-5
1055	1.01191217254382e-4
1060	1.14231603220105e-4
1065	1.3466106611304e-4
1070	1.64711120305583e-4
1075	2.04206851776689e-4
1080	2.48138356255367e-4
1085	2.8958497568965e-4
1090	3.21538682328537e-4
1095	3.37846780894324e-4
1100	3.36498109390959e-4
1105	3.18922335281968e-4
1110	2.91365227894858e-4
1115	2.60649278061464e-4
1120	2.31171245104633e-4
1125	2.05380725674331e-4
1130	1.82170668267645e-4
1135	1.58083203132264e-4
1140	1.31547683849931e-4
1145	1.05078441265505e-4
1150	8.5092120571062e-5
1155	7.69262769608758e-5
1160	8.18931512185372e-5
1165	9.5604540547356e-5
1170	1.10676184704062e-4
1175	1.21208067866974e-4
1180	1.24202357255854e-4
1185	1.19906850159168e-4
1190	1.10252032754943e-4
1195	9.76205774350092e-5
1200	8.5046085587237e-5
1205	7.38819944672287e-5
1210	6.47007545921952e-5
1215	5.76005477341823e-5
1220	5.1411861932138e-5
1225	4.38588140241336e-5
1230	3.34775832016021e-5
1235	2.11045080504846e-5
1240	1.07619243863155e-5
1245	7.71724535297835e-6
1250	1.66579065989936e-5
1255	4.05149257858284e-5
1260	7.87413882790133e-5
1265	1.27486375276931e-4
1270	1.81304145371541e-4
1275	2.33795726671815e-4
1280	2.77830229606479e-4
1285	3.06969421217218e-4
1290	3.17553116474301e-4
1295	3.11642448650673e-4
1300	2.96983285807073e-4
1305	2.8523794026114e-4
1310	2.83962581306696e-4
1315	2.93197255814448e-4
1320	3.05610097711906e-4
1325	3.10946081299335e-4
1330	3.06181056657806e-4
1335	3.07804002659395e-4
1340	3.68664506822824e-4
1345	5.83782442845404e-4
1350	0.00102702132426202
1355	0.00163626531139016
1360	0.00216618273407221
1365	0.00240738340653479
1370	0.0023684510961175
1375	0.00218226597644389
1380	0.001968780066818
1385	0.00178326212335378
1390	0.00162540888413787
1395	0.00147655070759356
1400	0.00131977931596339
1405	0.00114806648343802
1410	9.69601504039019e-4
1415	8.19142383988947e-4
1420	7.35626381356269e-4
1425	7.37718946766108e-4
1430	8.17458960227668e-4
1435	9.46842366829515e-4
1440	0.001090700738132
1445	0.00121752335689962
1450	0.00130695290863514
1455	0.00135010061785579
1460	0.00134050718043
1465	0.00127889297436923
1470	0.00117859255988151
1475	0.00105898885522038
1480	9.34639072511345e-4
1485	8.18460423033685e-4
1490	7.22363998647779e-4
1495	6.54150964692235e-4
1500	6.16113189607859e-4
1505	6.06762885581702e-4
1510	6.20956241618842e-4
1515	6.488356157206e-4
1520	6.75344665069133e-4
1525	6.91818480845541e-4
1530	6.9290678948164e-4
1535	6.80772063788027e-4
1540	6.66099018417299e-4
1545	6.62431179080159e-4
1550	6.76994153764099e-4
1555	7.08408420905471e-4
1560	7.40122282877564e-4
1565	7.53299449570477e-4
1570	7.31876003555954e-4
1575	6.7982409382239e-4
1580	6.11987488809973e-4
1585	5.42746391147375e-4
1590	4.82517352793366e-4
1595	4.38779825344682e-4
1600	4.08654886996374e-4
1605	3.83213075110689e-4
1610	3.52263683453202e-4
1615	3.11392679577693e-4
1620	2.58848478551954e-4
1625	1.9904573855456e-4
1630	1.48958715726621e-4
1635	1.35070891701616e-4
1640	1.91110695595853e-4
1645	3.28715163050219e-4
1650	4.98214096296579e-4
1655	6.24570006038994e-4
1660	6.82470854371786e-4
1665	6.98766729328781e-4
1670	7.06473831087351e-4
1675	7.16748705599457e-4
1680	7.32267333660275e-4
1685	7.47480196878314e-4
1690	7.6011847704649e-4
1695	7.70868093241006e-4
1700	7.78634916059673e-4
1705	7.84927397035062e-4
1710	7.94572348240763e-4
1715	8.08642653282732e-4
1720	8.23483278509229e-4
1725	8.33933241665363e-4
1730	8.38047708384693e-4
1735	8.36874591186643e-4
1740	8.30976525321603e-4
1745	8.23878566734493e-4
1750	8.21218302007765e-4
1755	8.25035443995148e-4
1760	8.30088858492672e-4
1765	8.32382298540324e-4
1770	8.29426920972765e-4
1775	8.20696062874049e-4
1780	8.05516494438052e-4
1785	7.86705350037664e-4
1790	7.6724065002054e-4
1795	7.48265476431698e-4
1800	7.26802565623075e-4
1805	7.04163045156747e-4
1810	6.83332269545645e-4
1815	6.67385815177113e-4
1820	6.57475960906595e-4
1825	6.54385541565716e-4
1830	6.55006908345968e-4
1835	6.52905669994652e-4
1840	6.40932295937091e-4
1845	6.18392019532621e-4
1850	5.88729104492813e-4
1855	5.57532417587936e-4
1860	5.35077473614365e-4
1865	5.25849405676127e-4
1870	5.43013506103307e-4
1875	5.98202692344785e-4
1875	5.98313345108181e-4
