Position (cm^-1)	Sample Intensity (V)
760	1.19809075840749e-4
765	7.1897913585417e-5
770	6.01897590968292e-5
775	6.10727147432044e-5
780	7.22356489859521e-5
785	8.90709270606749e-5
790	1.12616791739129e-4
795	1.39759489684366e-4
800	1.6576457710471e-4
805	1.84660413651727e-4
810	1.92840350791812e-4
815	1.9051882554777e-4
820	1.81994793820195e-4
825	1.71881387359463e-4
830	1.64434270118363e-4
835	1.613008644199e-4
840	1.61609030328691e-4
845	1.61847623530775e-4
850	1.58635797561146e-4
855	1.49726562085561e-4
860	1.34915462695062e-4
865	1.15711016405839e-4
870	9.47422813624144e-5
875	7.47951489756815e-5
880	5.79995758016594e-5
885	4.46801495854743e-5
890	3.48658140865155e-5
895	2.80098138318863e-5
900	2.36313735513249e-5
905	2.16778098547366e-5
910	2.1252681108308e-5
915	2.2152453311719e-5
920	2.39884884649655e-5
925	2.56961775448872e-5
930	2.69210504484363e-5
935	2.66322385868989e-5
940	2.42640107899206e-5
945	1.97517201740993e-5
950	1.31472716020653e-5
955	6.2969770624477e-6
960	1.28602459881222e-6
965	7.59571264552505e-7
970	1.08830827230122e-5
975	3.90678833355196e-5
980	9.02187894098461e-5
985	1.58086098963395e-4
990	2.21749753109179e-4
995	2.60136090219021e-4
1000	2.67292780335993e-4
1005	2.51703924732283e-4
1010	2.23743714741431e-4
1015	1.9063385843765e-4
1020	1.57590577146038e-4
1025	1.28795465570875e-4
1030	1.06863481050823e-4
1035	9.22197286854498e-5
1040	8.41329092509113e-5
1045	8.16485990071669e-5
1050	8.47763076308183e-5
1055	9.38154043979012e-5
1060	1.09484746644739e-4
1065	1.32835717522539e-4
1070	1.64573764777742e-4
1075	2.03971649170853e-4
1080	2.48667056439444e-4
1085	2.9379827901721e-4
1090	3.32622352289036e-4
1095	3.57671116944402e-4
1100	3.63077298970893e-4
1105	3.46579618053511e-4
1110	3.116951265838e-4
1115	2.65381124336272e-4
1120	2.15997628401965e-4
1125	1.70713508850895e-4
1130	1.3311899965629e-4
1135	1.02791556855664e-4
1140	7.71553968661465e-5
1145	5.46125011169352e-5
1150	3.71376881957985e-5
1155	2.91077194560785e-5
1160	3.07773443637416e-5
1165	3.92207584809512e-5
1170	4.93532897962723e-5
1175	5.62539971724618e-5
1180	5.74323930777609e-5
1185	5.29782591911498e-5
1190	4.49307117378339e-5
1195	3.60614285455085e-5
1200	2.74658741545863e-5
1205	2.01579023269005e-5
1210	1.45483463711571e-5
1215	1.06246952782385e-5
1220	8.06867501523811e-6
1225	6.36126924291602e-6
1230	4.34478761235368e-6
1235	1.79324695182004e-6
1240	-1.18086864731026e-8
1245	1.58180421294674e-6
1250	1.01581526905647e-5
1255	2.82114779110998e-5
1260	5.5241325753741e-5
1265	8.89618240762502e-5
1270	1.24497717479244e-4
1275	1.56834677909501e-4
1280	1.80767267011106e-4
1285	1.92103514564224e-4
1290	1.9024072389584e-4
1295	1.78113870788366e-4
1300	1.61572999786586e-4
1305	1.50231659063138e-4
1310	1.48217441164888e-4
1315	1.53916684212163e-4
1320	1.59503411850892e-4
1325	1.56229434651323e-4
1330	1.42940712976269e-4
1335	1.34626738145016e-4
1340	1.76093628397211e-4
1345	3.51193768437952e-4
1350	7.26035737898201e-4
1355	0.00125289207790047
1360	0.00172263430431485
1365	0.00195239891763777
1370	0.00194375962018967
1375	0.00180642353370786
1380	0.0016392667312175
1385	0.00148851750418544
1390	0.00135329843033105
1395	0.00121862685773522
1400	0.00107228569686413
1405	9.11657232791185e-4
1410	7.4697844684124e-4
1415	6.09465118031949e-4
1420	5.32776932232082e-4
1425	5.32613950781524e-4
1430	6.01051258854568e-4
1435	7.12749431841075e-4
1440	8.35865619592369e-4
1445	9.41417296417058e-4
1450	0.00100976193789393
1455	0.00103239086456597
1460	0.00100778811611235
1465	9.41758509725332e-4
1470	8.50082957185805e-4
1475	7.51493207644671e-4
1480	6.56766758766025e-4
1485	5.7321903295815e-4
1490	5.06666779983789e-4
1495	4.60709095932543e-4
1500	4.37201932072639e-4
1505	4.34740562923253e-4
1510	4.48960985522717e-4
1515	4.7123187687248e-4
1520	4.85570722958073e-4
1525	4.84574353322387e-4
1530	4.66626923298463e-4
1535	4.37759241322055e-4
1540	4.12088091252372e-4
1545	4.05114609748125e-4
1550	4.24587022280321e-4
1555	4.6571105485782e-4
1560	5.04130148328841e-4
1565	5.19562454428524e-4
1570	4.99602174386382e-4
1575	4.49355284217745e-4
1580	3.83940699975938e-4
1585	3.18152975523844e-4
1590	2.62231595115736e-4
1595	2.22821297938935e-4
1600	1.96538909221999e-4
1605	1.78723537828773e-4
