Position (cm^-1)	Sample Intensity (V)
760	5.30965553480201e-5
765	1.65557023137808e-4
770	1.83609736268409e-4
775	1.82702220627107e-4
780	1.79203649167903e-4
785	1.73588356119581e-4
790	1.74758635694161e-4
795	1.82168907485902e-4
800	1.91907151020132e-4
805	1.98961846763268e-4
810	1.99167639948428e-4
815	1.92145773326047e-4
820	1.79695765837096e-4
825	1.65782257681713e-4
830	1.55065456056036e-4
835	1.49624887853861e-4
840	1.49047176819295e-4
845	1.50886684423313e-4
850	1.51614367496222e-4
855	1.48182662087493e-4
860	1.39376177685335e-4
865	1.25491249491461e-4
870	1.08814172563143e-4
875	9.23849438549951e-5
880	7.84582589403726e-5
885	6.83167090755887e-5
890	6.14677192061208e-5
895	5.65512818866409e-5
900	5.24408787896391e-5
905	4.71571656817105e-5
910	3.99311975343153e-5
915	3.14832977892365e-5
920	2.31483227253193e-5
925	1.65659457707079e-5
930	1.30020180222346e-5
935	1.2552690350276e-5
940	1.40848196679144e-5
945	1.4639086657553e-5
950	1.21101393233403e-5
955	6.6647144194576e-6
960	1.2192888334539e-6
965	1.6345730955436e-6
970	1.91316394193564e-5
975	6.67302228976041e-5
980	1.50959866004996e-4
985	2.56533036008477e-4
990	3.44436120940372e-4
995	3.80658340873197e-4
1000	3.63252067472786e-4
1005	3.13322379952297e-4
1010	2.51677032792941e-4
1015	1.92200299352407e-4
1020	1.43298515467905e-4
1025	1.09134554804768e-4
1030	8.98849248187617e-5
1035	8.22095607873052e-5
1040	8.1436250184197e-5
1045	8.40802022139542e-5
1050	8.89360380824655e-5
1055	9.61251280386932e-5
1060	1.06589010101743e-4
1065	1.21966579172295e-4
1070	1.4367543917615e-4
1075	1.72252446645871e-4
1080	2.05735123017803e-4
1085	2.40738576394506e-4
1090	2.72092234808952e-4
1095	2.93683144263923e-4
1100	3.00509767839685e-4
1105	2.90213036350906e-4
1110	2.64823262114078e-4
1115	2.29624245548621e-4
1120	1.90727805602364e-4
1125	1.54864843352698e-4
1130	1.25928403576836e-4
1135	1.0389405360911e-4
1140	8.68548158905469e-5
1145	7.2282062319573e-5
1150	5.96946083533112e-5
1155	5.105419040774e-5
1160	4.87225624965504e-5
1165	5.22055051987991e-5
1170	5.95226156292483e-5
1175	6.78648721077479e-5
1180	7.48267557355575e-5
1185	7.86747987149283e-5
1190	7.86964228609577e-5
1195	7.50916369725019e-5
1200	6.88311702106148e-5
1205	5.98470687691588e-5
1210	4.96320026286412e-5
1215	3.95874885725789e-5
1220	3.02318112517241e-5
1225	2.18354180105962e-5
1230	1.40523961817962e-5
1235	6.71747511660215e-6
1240	1.16477144729288e-6
1245	-3.49047759584664e-8
1250	7.34071682018111e-6
1255	2.61765871982789e-5
1260	5.70507036172785e-5
1265	9.82496421784163e-5
1270	1.44697100040503e-4
1275	1.8991123943124e-4
1280	2.27430457016453e-4
1285	2.51728546572849e-4
1290	2.60505359619856e-4
1295	2.55744496826082e-4
1300	2.4500535801053e-4
1305	2.38931563217193e-4
1310	2.41748130065389e-4
1315	2.50464130658656e-4
1320	2.56603438174352e-4
1325	2.50410928856581e-4
1330	2.33539205510169e-4
1335	2.29420213145204e-4
1340	3.00748768495396e-4
1345	5.48416457604617e-4
1350	0.00104199186898768
1355	0.0016951885772869
1360	0.00222970196045935
1365	0.00243403064087033
1370	0.00234765210188925
1375	0.00212741876021028
1380	0.00190129096154124
1385	0.00171719503123313
1390	0.00156587339006364
1395	0.00141942233312875
1400	0.00125411420594901
1405	0.00106721394695342
1410	8.79297207575291e-4
1415	7.35058099962771e-4
1420	6.79708726238459e-4
1425	7.23718898370862e-4
1430	8.41335626319051e-4
1435	9.85057326033711e-4
1440	0.00110517360735685
1445	0.00116716499906033
1450	0.00115713046398014
1455	0.00108192733023316
1460	9.6614781068638e-4
1465	8.38652136735618e-4
1470	7.2636129334569e-4
1475	6.44010317046195e-4
1480	5.89394359849393e-4
1485	5.53589663468301e-4
1490	5.30310033354908e-4
1495	5.15415740665048e-4
1500	5.1209912635386e-4
1505	5.23520400747657e-4
1510	5.51287201233208e-4
1515	5.90208161156625e-4
1520	6.25615532044321e-4
1525	6.43183826468885e-4
1530	6.33682357147336e-4
1535	5.97463629674166e-4
1540	5.49962220247835e-4
1545	5.11725840624422e-4
1550	5.00666559673846e-4
1555	5.22400892805308e-4
1560	5.5921298917383e-4
1565	5.82824985031039e-4
1570	5.71581476833671e-4
1575	5.24484785273671e-4
1580	4.54762513982132e-4
1585	3.78892786102369e-4
1590	3.12045449391007e-4
1595	2.65404145466164e-4
