Wavenumber (cm^-1)	Intensity (V)
760	4.88938930873267e-6
761.998207885305	1.34696546694613e-5
763.996415770609	1.64999864833695e-5
765.994623655914	1.33334599811958e-5
767.992831541219	1.21621856621122e-5
769.991039426523	8.64155297044814e-6
771.989247311828	1.4273203330228e-5
773.987455197133	4.83491143342646e-6
775.985663082437	8.57345562631537e-6
777.983870967742	1.10658184215746e-5
779.982078853047	1.26388670710416e-5
781.980286738351	8.94118128463231e-6
783.978494623656	1.8113893539316e-6
785.976702508961	2.33982474440188e-5
787.974910394265	1.69358094858192e-5
789.97311827957	6.693968928251e-6
791.971326164875	1.59824466679604e-5
793.969534050179	2.03474864268708e-5
795.967741935484	8.39640253157018e-6
797.965949820789	1.51993272104336e-5
799.964157706093	3.69428091920261e-5
801.962365591398	8.36916359391707e-6
803.960573476703	1.21349467244591e-5
805.958781362007	4.0926503823793e-5
807.956989247312	1.64931767489562e-5
809.955197132616	1.67178979845943e-5
811.953405017921	3.1821888913242e-5
813.951612903226	2.08650262422798e-5
815.94982078853	2.82331588774452e-5
817.948028673835	5.57717248447362e-6
819.94623655914	2.55841721906806e-5
821.944444444445	2.17094333095261e-5
823.942652329749	2.35003934602179e-5
825.940860215054	2.49372474214193e-5
827.939068100359	2.04632519118965e-5
829.937275985663	1.55330041966842e-5
831.935483870968	1.02282210887416e-5
833.933691756272	1.82500882275816e-5
835.931899641577	2.41132695574128e-5
837.930107526882	1.21553759276989e-5
839.928315412186	1.97686590017423e-5
841.926523297491	1.4593260847652e-5
843.924731182796	2.49917252967255e-6
845.9229390681	5.82913265776486e-6
847.921146953405	1.71060528461511e-5
849.91935483871	1.18829865511678e-5
851.917562724014	2.54139288303487e-5
853.915770609319	1.3387937856502e-5
855.913978494624	3.61596897344993e-6
857.912186379928	9.82644675835829e-6
859.910394265233	1.8236468758755e-5
861.908602150538	1.25571502580822e-5
863.906810035842	1.63774112639305e-5
865.905017921147	3.50020348842423e-6
867.903225806452	1.40144334225235e-5
869.901433691756	2.73955615446122e-5
871.899641577061	4.51485391600246e-6
873.897849462366	1.53014732266328e-5
875.89605734767	1.28227299002e-5
877.894265232975	1.96460837823033e-5
879.89247311828	1.70039068299519e-5
881.890681003584	6.693968928251e-6
883.888888888889	1.54512873837248e-5
885.887096774194	1.40008139536969e-5
887.885304659498	1.11952033754269e-5
889.883512544803	1.00443582595831e-5
891.881720430107	7.29322555661935e-6
893.879928315412	1.60028758712003e-5
895.878136200717	2.28807076286097e-6
897.876344086022	1.05346591373391e-5
899.874551971326	9.77196888305207e-6
901.872759856631	1.23937166321636e-5
903.870967741936	1.37488537804057e-5
905.86917562724	3.77940259936857e-6
907.867383512545	6.09471229988265e-6
909.865591397849	6.33305300434733e-6
911.863799283154	1.18148892070351e-5
913.862007168459	1.27546325560673e-5
915.860215053764	1.0507420199686e-5
917.858422939068	1.60982121529861e-5
919.856630824373	5.22987602939651e-6
921.854838709677	1.86246236203118e-5
923.853046594982	1.40076236881102e-5
925.851254480287	4.48080524393607e-6
927.849462365591	1.51652785383672e-5
929.847670250896	2.15187607459544e-5
931.845878136201	1.17195529252492e-5
933.844086021506	5.77465478245864e-6
935.84229390681	1.00784069316495e-5
937.840501792115	1.04120839179001e-5
939.838709677419	2.66737296968049e-5
941.836917562724	1.68200440007935e-5
943.835125448029	1.29657343228788e-5
945.833333333333	1.82228492899285e-5
947.831541218638	4.41951763421658e-6
949.829749103943	1.08479069203498e-5
951.827956989247	5.91084947072418e-6
953.826164874552	8.50535828218261e-6
955.824372759857	1.08410971859365e-5
957.822580645161	6.81654414768998e-6
959.820788530466	1.12360617819066e-5
961.818996415771	7.8039556376151e-6
963.817204301075	8.78455739312695e-6
965.81541218638	8.76412818988712e-6
967.813620071685	1.57168670258426e-5
969.811827956989	8.32149545302413e-6
971.810035842294	1.0657234356778e-5
973.808243727599	1.78346944283717e-5
975.806451612903	1.07934290450436e-5
977.804659498208	9.87411489925122e-6
979.802867383513	2.07288315540143e-5
981.801075268817	4.74638488605386e-6
983.799283154122	4.96429638727872e-6
985.797491039427	2.88732739122932e-5
987.795698924731	1.56351502128833e-5
989.793906810036	1.9761849267329e-5
991.792114695341	1.17127431908359e-5
993.790322580645	1.7351203285029e-5
995.78853046595	1.03439865737673e-5
997.786738351254	1.13926856734119e-5
999.784946236559	2.52436854700167e-5
1001.78315412186	1.56623891505364e-6
1003.78136200717	9.3838140214953e-6
1005.77956989247	8.05591581090634e-6
1007.77777777778	1.02895086984611e-5
1009.77598566308	7.91291138822753e-6
1011.77419354839	3.6840663175827e-6
1013.77240143369	9.65620339802637e-6
1015.770609319	3.54787162931716e-6
1017.7688172043	7.47708838577782e-6
1019.76702508961	1.1024960015095e-5
1021.76523297491	6.46924769261287e-6
1023.76344086022	2.16753846374597e-5
1025.76164874552	6.72120786590411e-6
1027.75985663082	1.96597032511298e-5
1029.75806451613	1.41097697043093e-5
1031.75627240143	1.0582327278232e-5
1033.75448028674	8.78455739312695e-6
1035.75268817204	1.18216989414484e-5
1037.75089605735	6.35348220758717e-6
1039.74910394265	2.15868580900872e-5
1041.74731182796	1.14267343454783e-5
1043.74551971326	1.87744377774039e-5
1045.74372759857	1.44230174873201e-5
1047.74193548387	1.19238449576475e-5
1049.74014336918	1.24890529139495e-5
1051.73835125448	1.73852519570954e-5
1053.73655913979	2.49372474214193e-5
1055.73476702509	5.78146451687192e-6
1057.73297491039	1.20804688491529e-5
1059.7311827957	8.50535828218261e-6
1061.729390681	1.46477387229582e-5
1063.72759856631	1.21213272556325e-5
1065.72580645161	4.60338046337505e-6
1067.72401433692	1.28227299002e-5
1069.72222222222	2.73070349972396e-6
1071.72043010753	1.58190130420418e-5
1073.71863799283	1.34219865285684e-5
1075.71684587814	9.21357066116338e-6
1077.71505376344	1.08683361235896e-5
1079.71326164875	1.12428715163198e-5
1081.71146953405	2.42971323865713e-5
1083.70967741935	1.14471635487181e-5
1085.70788530466	7.47708838577782e-6
1087.70609318996	1.13041591260393e-5
1089.70430107527	1.52606148201531e-5
1091.70250896057	1.55398139310974e-5
1093.70071684588	2.32620527557532e-5
1095.69892473118	1.64523183424765e-5
1097.69713261649	1.01192653381292e-5
1099.69534050179	1.15765485025704e-5
1101.6935483871	3.9155972876341e-6
1103.6917562724	2.94180526653554e-6
1105.68996415771	2.00274289094468e-5
1107.68817204301	1.48247918177034e-5
1109.68637992832	1.50767519909946e-5
1111.68458781362	1.72558670032432e-5
1113.68279569892	1.59211590582409e-5
1115.68100358423	4.23565480505811e-6
1117.67921146953	9.04332730083146e-6
1119.67741935484	2.69256898700961e-5
1121.67562724014	4.0041238350067e-6
1123.67383512545	1.33538891844356e-5
1125.67204301075	3.13247783010728e-6
1127.67025089606	9.33614588060236e-6
1129.66845878136	3.52744242607733e-6
1131.66666666667	1.00307387907566e-5
1133.66487455197	5.93127867396401e-6
1135.66308243728	1.16514555811164e-5
1137.66129032258	1.17263626596625e-5
1139.65949820789	6.84378308534309e-6
1141.65770609319	2.90775659446915e-6
1143.65591397849	2.68439730571368e-5
1145.6541218638	9.10461491055095e-6
1147.6523297491	1.73239643473759e-5
1149.65053763441	2.09739819928922e-5
1151.64874551971	1.14403538143049e-5
1153.64695340502	1.36467077642065e-5
1155.64516129032	1.24209555698167e-5
1157.64336917563	5.31159284235583e-6
1159.64157706093	8.08996448297273e-6
1161.63978494624	1.06708538256046e-5
1163.63799283154	1.37284245771658e-5
1165.63620071685	1.08955750612427e-5
1167.63440860215	9.64258392919981e-6
1169.63261648746	6.75525653797049e-6
1171.63082437276	1.64114599359969e-6
1173.62903225806	1.00443582595831e-5
1175.62724014337	5.65888929743294e-6
1177.62544802867	7.8652432473346e-6
1179.62365591398	1.11066768280543e-5
1181.62186379928	5.62484062536656e-6
1183.62007168459	1.08955750612427e-5
1185.61827956989	1.26184378678017e-5
1187.6164874552	1.02486502919814e-5
1189.6146953405	5.44778753062136e-6
1191.61290322581	1.13177785948659e-5
1193.61111111111	1.45251635035192e-5
1195.60931899642	6.8097344132767e-6
1197.60752688172	1.17127431908359e-5
1199.60573476703	6.59182291205185e-6
1201.60394265233	1.28976369787461e-5
1203.60215053763	3.26186278395954e-6
1205.60035842294	1.28567785722664e-5
1207.59856630824	9.84687596159811e-6
1209.59677419355	6.29219459786768e-6
1211.59498207885	4.32418135243071e-6
1213.59318996416	6.29219459786768e-6
1215.59139784946	1.53763803051788e-5
1217.58960573477	1.80526059295965e-5
1219.58781362007	2.67622562441774e-6
1221.58602150538	1.00511679939964e-5
1223.58422939068	9.71749100774586e-6
1225.58243727599	1.22847608815512e-5
1227.58064516129	1.1542499830504e-5
1229.5788530466	1.66838493125279e-5
1231.5770609319	4.17436719533862e-6
1233.5752688172	8.04229634207979e-6
1235.57347670251	1.66225617028084e-5
1237.57168458781	6.92549989830241e-6
1239.56989247312	2.57135571445328e-5
1241.56810035842	6.51691583350581e-6
1243.56630824373	1.45524024411723e-5
1245.56451612903	8.72326978340746e-6
1247.56272401434	1.30202121981851e-5
1249.56093189964	1.07185219664975e-5
1251.55913978495	8.43726093804984e-6
1253.55734767025	1.28772077755062e-5
1255.55555555556	3.36400880015869e-6
1257.55376344086	2.45150438877961e-6
1259.55197132617	1.13722564701721e-5
1261.55017921147	2.42086058391987e-5
1263.54838709677	2.03815350989372e-5
1265.54659498208	8.44407067246311e-6
1267.54480286738	1.05414688717523e-5
1269.54301075269	5.59079195330017e-6
1271.54121863799	1.86518625579649e-5
1273.5394265233	2.1607287293327e-5
1275.5376344086	1.31155484799709e-5
1277.53584229391	1.67519466566607e-5
1279.53405017921	1.27273936184142e-5
1281.53225806452	1.45319732379325e-5
1283.53046594982	1.21281369900458e-5
1285.52867383513	7.87886271616115e-6
1287.52688172043	2.1607287293327e-5
1289.52508960573	2.19545837484041e-5
1291.52329749104	1.62820749821446e-5
1293.52150537634	3.05961367188522e-5
1295.51971326165	1.81343227425559e-5
1297.51792114695	1.56079112752302e-5
1299.51612903226	9.37019455266874e-6
1301.51433691756	1.90876855604146e-5
1303.51254480287	1.98776147523547e-5
1305.51075268817	1.56487696817099e-5
1307.50896057348	2.34663447881515e-5
1309.50716845878	2.22610217970015e-5
1311.50537634409	9.36338481825547e-6
1313.50358422939	2.14370439329951e-5
1315.5017921147	1.49541767715556e-5
1317.5	1.36126590921401e-5
1319.4982078853	8.21934943682498e-6
1321.49641577061	1.41438183763757e-5
1323.49462365591	7.53156626108403e-6
1325.49283154122	2.54411677680018e-5
1327.49103942652	1.81275130081426e-5
1329.48924731183	2.10012209305454e-5
1331.48745519713	1.71809599246971e-5
1333.48566308244	9.65620339802637e-6
1335.48387096774	2.14029952609287e-5
1337.48207885305	1.02758892296345e-5
1339.48028673835	1.82160395555152e-5
1341.47849462366	1.30542608702514e-5
1343.47670250896	8.74369898664729e-6
1345.47491039427	5.3796901864886e-6
1347.47311827957	1.67247077190076e-5
1349.47132616487	1.21008980523927e-5
1351.46953405018	8.49854854776933e-6
1353.46774193548	2.06607342098815e-5
1355.46594982079	4.58090833981124e-5
1357.46415770609	3.83388047467478e-5
1359.4623655914	2.98062075269121e-5
1361.4605734767	4.19071055793048e-5
1363.45878136201	3.9598605613204e-5
1365.45698924731	5.78010256998927e-5
1367.45519713262	4.58295126013522e-5
1369.45340501792	4.27038445056582e-5
1371.45161290323	4.59861364928576e-5
1373.44982078853	4.41202692636198e-5
1375.44802867384	5.66161319119825e-5
1377.44623655914	3.08685260953833e-5
1379.44444444444	4.29626144133627e-5
1381.44265232975	4.56592692410203e-5
1383.44086021505	5.52337558260874e-5
1385.43906810036	4.59452780863779e-5
1387.43727598566	4.04293932116238e-5
1389.43548387097	5.08414771295239e-5
1391.43369175627	4.55571232248212e-5
1393.43189964158	4.82061099115858e-5
1395.43010752688	3.89789197815959e-5
1397.42831541219	4.86078842419691e-5
1399.42652329749	6.25065521794669e-5
1401.4247311828	3.1944464132681e-5
1403.4229390681	4.49238179243864e-5
1405.42114695341	4.30307117574955e-5
1407.41935483871	2.84714995819099e-5
1409.41756272401	5.08619063327637e-5
1411.41577060932	3.01739331852291e-5
1413.41397849462	3.89380613751162e-5
1415.41218637993	5.51928974196077e-5
1417.41039426523	1.91285439668943e-5
1419.40860215054	2.70142164174687e-5
1421.40681003584	4.13350878885896e-6
1423.40501792115	3.04122738896938e-5
1425.40322580645	1.03507963081806e-5
1427.40143369176	2.45490925598625e-5
1429.39964157706	2.99696411528308e-5
1431.39784946237	5.12228222566674e-5
1433.39605734767	5.05690877529928e-5
1435.39426523298	6.20366805049508e-5
1437.39247311828	7.31024989265254e-5
1439.39068100358	4.10286498399922e-5
1441.38888888889	6.15327601583683e-5
1443.38709677419	5.53222823734599e-5
1445.3853046595	9.43284410927089e-5
1447.3835125448	8.94186225807364e-5
1449.38172043011	8.08792156264874e-5
1451.37992831541	9.99532817180755e-5
1453.37813620072	9.88705339463645e-5
1455.37634408602	1.10726281559879e-4
1457.37455197133	6.49240078961801e-5
1459.37275985663	6.3126238011075e-5
1461.37096774194	5.82504681711689e-5
1463.36917562724	5.35721806292478e-5
1465.36738351255	6.74367998946792e-5
1467.36559139785	7.57174369412237e-5
1469.36379928315	6.73346538784801e-5
1471.36200716846	4.72118886872474e-5
1473.36021505376	7.98168970580163e-5
1475.35842293907	5.22783310907253e-5
1477.35663082437	7.63507422416584e-5
1479.35483870968	7.57174369412237e-5
1481.35304659498	8.02595297948793e-5
1483.35125448029	6.87510786364416e-5
1485.34946236559	7.19039856697887e-5
1487.3476702509	7.78148351405129e-5
1489.3458781362	9.0024688943518e-5
1491.34408602151	7.2108277702187e-5
1493.34229390681	1.11972462957509e-4
1495.34050179211	1.2951433880611e-4
1497.33870967742	1.05298923232498e-4
1499.33691756272	9.18905561727559e-5
1501.33512544803	6.93094768583303e-5
1503.33333333333	8.29085164816439e-5
1505.33154121864	5.66365611152223e-5
1507.32974910394	6.81994901489662e-5
1509.32795698925	4.55979816313008e-5
1511.32616487455	5.88701540027771e-5
1513.32437275986	6.41136495010002e-5
1515.32258064516	5.2469003654297e-5
1517.32078853047	4.94046231683225e-5
1519.31899641577	5.00243089999307e-5
1521.31720430108	6.01776230101262e-5
1523.31541218638	6.00346185874474e-5
1525.31362007168	4.8383163006331e-5
1527.31182795699	6.2731273415105e-5
1529.31003584229	6.15804282992612e-5
1531.3082437276	6.60067556678911e-5
