Wavenumber (cm^-1)	Intensity (V)
760	1.77053094745194e-7
761.998207885305	3.87473888115444e-6
763.996415770609	7.00040697684845e-6
765.994623655914	4.7940530269468e-6
767.992831541219	5.1753981540903e-6
769.991039426523	1.38714289998446e-5
771.989247311828	1.06980927632577e-5
773.987455197133	7.06169458656794e-6
775.985663082437	1.06980927632577e-5
777.983870967742	7.81757510644166e-6
779.982078853047	2.24721235638131e-6
781.980286738351	3.83388047467478e-6
783.978494623656	2.41064598229995e-6
785.976702508961	7.0753140553945e-6
787.974910394265	3.9155972876341e-6
789.97311827957	1.58666811829347e-6
791.971326164875	1.32789821058896e-6
793.969534050179	4.24246453947139e-6
795.967741935484	5.27073443587617e-6
797.965949820789	4.47399550952279e-6
799.964157706093	3.88154861556772e-6
801.962365591398	5.89723000189763e-6
803.960573476703	6.23771672256146e-6
805.958781362007	8.35554412509052e-6
807.956989247312	1.04120839179001e-5
809.955197132616	1.34560352006348e-5
811.953405017921	8.32830518743741e-6
813.951612903226	5.59760168771345e-6
815.94982078853	4.91662824638578e-6
817.948028673835	5.18220788850357e-6
819.94623655914	8.67560164251452e-6
821.944444444445	4.65785833868127e-6
823.942652329749	2.7170840308974e-6
825.940860215054	4.54890258806884e-6
827.939068100359	3.02352207949486e-6
829.937275985663	2.18592474666182e-6
831.935483870968	6.29900433228095e-6
833.933691756272	7.83119457526821e-6
835.931899641577	1.02486502919814e-5
837.930107526882	4.35823002449709e-6
839.928315412186	1.6070973215333e-6
841.926523297491	3.13247783010728e-6
843.924731182796	4.03817250707309e-6
845.9229390681	5.12092027878408e-6
847.921146953405	2.1927344810751e-6
849.91935483871	4.26289374271122e-6
851.917562724014	5.37288045207532e-6
853.915770609319	4.60338046337505e-6
855.913978494624	3.73854419288891e-6
857.912186379928	5.5839822188869e-6
859.910394265233	7.13660166511399e-6
861.908602150538	2.71027429648413e-6
863.906810035842	4.27651321153777e-6
865.905017921147	7.41580077605833e-6
867.903225806452	1.0064787462823e-5
869.901433691756	1.53831900395921e-5
871.899641577061	8.75050872106056e-6
873.897849462366	1.58666811829347e-6
875.89605734767	3.35038933133214e-6
877.894265232975	2.62174774911153e-6
879.89247311828	2.08377873046267e-6
881.890681003584	2.47193359201944e-6
883.888888888889	5.96532734603039e-6
885.887096774194	8.51897775100916e-6
887.885304659498	4.18798666416517e-6
889.883512544803	4.16755746092534e-6
891.881720430107	9.02289809759163e-6
893.879928315412	9.43148216238823e-6
895.878136200717	6.05385389340299e-6
897.876344086022	9.31571667736253e-6
899.874551971326	4.61699993220161e-6
901.872759856631	3.96326542852704e-6
903.870967741936	2.52641146732566e-6
905.86917562724	7.47027865136455e-6
907.867383512545	8.79136712754023e-6
909.865591397849	4.20160613299173e-6
911.863799283154	5.26392470146289e-6
913.862007168459	2.49236279525927e-6
915.860215053764	1.21894245997653e-6
917.858422939068	2.18592474666182e-6
919.856630824373	2.5127919984991e-6
921.854838709677	3.90878755322083e-6
923.853046594982	1.30065927293585e-6
925.851254480287	8.43726093804984e-6
927.849462365591	4.31056188360415e-6
929.847670250896	3.67044684875614e-6
931.845878136201	3.80664153702168e-6
933.844086021506	3.77259286495529e-6
935.84229390681	4.23565480505811e-6
937.840501792115	8.85946447167299e-6
939.838709677419	7.49751758901765e-6
941.836917562724	4.35142029008381e-6
943.835125448029	4.66466807309454e-6
945.833333333333	7.53837599549731e-6
947.831541218638	6.86421228858292e-6
949.829749103943	6.76887600679704e-6
951.827956989247	5.72017690715243e-6
953.826164874552	2.47874332643272e-6
955.824372759857	2.90094686005588e-6
957.822580645161	6.00618575251005e-6
959.820788530466	8.39640253157018e-6
961.818996415771	7.44984944812471e-6
963.817204301075	3.33676986250558e-6
965.81541218638	5.40011938972843e-6
967.813620071685	7.64733174610974e-6
969.811827956989	5.39330965531515e-6
971.810035842294	3.2141946430666e-6
973.808243727599	2.56046013939204e-6
975.806451612903	9.94221224338399e-7
977.804659498208	4.44675657186969e-6
979.802867383513	4.36503975891037e-6
981.801075268817	1.04188936523134e-6
983.799283154122	1.90672563571748e-6
985.797491039427	3.10523889245418e-6
987.795698924731	3.99731410059343e-6
989.793906810036	7.27279635337952e-6
991.792114695341	5.84275212659141e-6
993.790322580645	9.72430074215913e-6
995.78853046595	7.47027865136455e-6
997.786738351254	2.2812610284477e-6
999.784946236559	4.63742913544144e-6
1001.78315412186	4.13350878885896e-6
1003.78136200717	5.1753981540903e-6
1005.77956989247	8.78455739312695e-6
1007.77777777778	6.8982609606493e-6
1009.77598566308	7.79033616878855e-6
1011.77419354839	6.78930521003688e-6
1013.77240143369	8.70284058016763e-6
1015.770609319	5.4954556715143e-6
1017.7688172043	7.83800430968149e-6
1019.76702508961	5.52269460916741e-6
1021.76523297491	3.49339375401095e-6
1023.76344086022	4.37865922773692e-6
1025.76164874552	4.42632736862986e-6
1027.75985663082	1.35513714824206e-6
1029.75806451613	2.42426545112651e-6
1031.75627240143	5.59079195330017e-6
1033.75448028674	4.24246453947139e-6
1035.75268817204	3.84069020908806e-6
1037.75089605735	3.52063269166406e-6
1039.74910394265	2.77156190620362e-6
1041.74731182796	7.41580077605833e-6
1043.74551971326	4.8825795743194e-6
1045.74372759857	5.43416806179481e-6
1047.74193548387	3.71811498964908e-6
1049.74014336918	1.47090263326777e-6
1051.73835125448	2.0156813863299e-6
1053.73655913979	2.00206191750335e-6
1055.73476702509	5.94489814279056e-6
1057.73297491039	9.16590252027044e-6
1059.7311827957	6.65992025618462e-6
1061.729390681	6.73482733473066e-6
1063.72759856631	6.31943353552078e-6
1065.72580645161	5.43416806179481e-6
1067.72401433692	4.73276541722731e-6
1069.72222222222	4.19479639857845e-6
1071.72043010753	3.97007516294032e-6
1073.71863799283	1.88629643247765e-6
1075.71684587814	4.04498224148636e-6
1077.71505376344	3.24824331513299e-6
1079.71326164875	1.36875661706862e-6
1081.71146953405	1.86586722923782e-6
1083.70967741935	2.81923004709656e-6
1085.70788530466	4.80086276136008e-6
1087.70609318996	1.88629643247765e-6
1089.70430107527	8.25339810889137e-6
1091.70250896057	7.95376979470719e-6
1093.70071684588	7.66776094934957e-6
1095.69892473118	8.38278306274362e-6
1097.69713261649	1.41233891731359e-5
1099.69534050179	1.39395263439774e-5
1101.6935483871	1.22915706159645e-5
1103.6917562724	1.24413847730565e-5
1105.68996415771	1.08410971859365e-5
1107.68817204301	5.52269460916741e-6
1109.68637992832	6.41476981730666e-6
1111.68458781362	7.13660166511399e-6
1113.68279569892	1.76372121303867e-6
1115.68100358423	6.48286716143942e-6
1117.67921146953	8.06272554531962e-6
1119.67741935484	8.19211049917188e-6
1121.67562724014	4.24927427388466e-6
1123.67383512545	1.8113893539316e-6
1125.67204301075	5.36607071766204e-6
1127.67025089606	4.24927427388466e-6
1129.66845878136	2.07015926163612e-6
1131.66666666667	1.02826989640478e-6
1133.66487455197	8.78455739312695e-6
1135.66308243728	8.73688925223401e-6
1137.66129032258	4.97791585610527e-6
1139.65949820789	7.42942024488489e-6
1141.65770609319	6.50329636467925e-6
1143.65591397849	2.47874332643272e-6
1145.6541218638	7.40899104164505e-6
1147.6523297491	7.42261051047161e-6
1149.65053763441	1.73648227538556e-6
1151.64874551971	6.51691583350581e-6
1153.64695340502	5.75422557921882e-6
1155.64516129032	6.01980522133661e-6
1157.64336917563	4.0041238350067e-6
1159.64157706093	5.0868716067177e-6
1161.63978494624	5.99937601809678e-6
1163.63799283154	3.95645569411376e-6
1165.63620071685	3.20738490865333e-6
1167.63440860215	2.39021677906012e-6
1169.63261648746	3.60915923903665e-6
1171.63082437276	5.96532734603039e-6
1173.62903225806	1.20328007082599e-5
1175.62724014337	5.53631407799396e-6
1177.62544802867	9.92859277455743e-6
1179.62365591398	6.65311052177134e-6
1181.62186379928	1.36875661706862e-6
1183.62007168459	6.21047778490835e-6
1185.61827956989	4.82129196459991e-6
1187.6164874552	6.29219459786768e-6
1189.6146953405	7.62009280845663e-6
1191.61290322581	6.68715919383772e-6
1193.61111111111	3.85430967791461e-6
1195.60931899642	1.40961502354828e-6
1197.60752688172	3.22781411189316e-6
1199.60573476703	3.49339375401095e-6
1201.60394265233	2.37659731023357e-6
1203.60215053763	1.26661060086947e-6
1205.60035842294	2.485553060846e-6
1207.59856630824	2.6898450932443e-6
1209.59677419355	2.76475217179034e-6
1211.59498207885	5.89042026748435e-6
1213.59318996416	6.12876097194903e-6
1215.59139784946	5.51588487475413e-6
1217.58960573477	1.07593803729772e-6
1219.58781362007	2.77156190620362e-6
1221.58602150538	2.92137606329571e-6
1223.58422939068	6.10833176870921e-6
1225.58243727599	2.57407960821859e-6
1227.58064516129	3.50020348842423e-6
1229.5788530466	5.59760168771345e-6
1231.5770609319	4.0926503823793e-6
1233.5752688172	5.12773001319736e-6
1235.57347670251	7.06850432098122e-6
1237.57168458781	6.36029194200044e-6
1239.56989247312	6.46924769261287e-7
1241.56810035842	2.76475217179034e-6
1243.56630824373	7.69499988700268e-6
1245.56451612903	1.09432432021357e-5
1247.56272401434	8.1853007647586e-6
1249.56093189964	2.52641146732566e-6
1251.55913978495	1.89310616689092e-6
1253.55734767025	1.02146016199151e-6
1255.55555555556	2.19954421548838e-6
1257.55376344086	5.86999106424452e-6
1259.55197132617	3.71811498964908e-6
1261.55017921147	3.82707074026151e-6
1263.54838709677	3.77940259936857e-6
1265.54659498208	7.68138041817612e-6
1267.54480286738	5.12092027878408e-6
1269.54301075269	5.01196452817165e-6
1271.54121863799	5.4069291241417e-6
1273.5394265233	2.485553060846e-6
1275.5376344086	3.92921675646066e-6
1277.53584229391	7.5996636052168e-6
1279.53405017921	4.82129196459991e-6
1281.53225806452	8.03548660766651e-7
1283.53046594982	6.71439813149083e-6
1285.52867383513	5.80189372011175e-6
1287.52688172043	6.96635830478207e-6
1289.52508960573	3.07119022038779e-6
1291.52329749104	3.63639817668976e-6
1293.52150537634	1.59347785270675e-6
1295.51971326165	8.51216801659588e-7
1297.51792114695	1.43004422678811e-7
1299.51612903226	2.11782740252905e-6
1301.51433691756	5.18220788850357e-6
1303.51254480287	5.01877426258493e-6
1305.51075268817	4.22884507064483e-6
1307.50896057348	2.17911501224855e-6
1309.50716845878	9.45872110004134e-6
1311.50537634409	7.90610165381426e-6
1313.50358422939	5.76784504804537e-6
1315.5017921147	4.40589816539003e-6
